Mot;Occurrence;Mot_nettoye;Cluster
propos;153;propos;0
savais;144;savoir;0
électriciens;2;électricien;0
étaient;318;;0
appelés;13;appeler;0
rester;143;rester;0
loin;99;loin;0
charges;22;charge;0
jacentes;2;jacent;0
sortir;160;sortir;0
gagne;23;gagne;0
enseignante;3;enseignant;0
sciences;23;science;0
naturelles;7;naturel;0
collège;5;collège;0
voyager;11;voyager;0
plaint;8;plaindre;0
retours;6;retour;0
maison;246;maison;0
agréables;3;agréable;0
désolé;327;désolé;0
doivent;61;;0
vérité;150;vériter;0
mèche;16;mèche;0
avaient;104;;0
réussi;60;réussir;0
découvrir;81;découvrir;0
mort;927;mort;0
demande;199;demande;0
plait;64;pler;0
veuillez;16;vouloir;0
patienter;2;patienter;0
attente;15;attente;0
serons;18;seron;0
longs;8;long;0
servez;13;servir;0
tasse;12;tasser;0
café;123;café;0
interrogatoires;8;interrogatoire;0
soir;202;soir;0
poster;5;poster;0
kitty;2;kitty;0
couple;49;couple;0
agents;58;agent;0
curry;9;curry;0
moran;7;moran;0
redécoré;2;redécorer;0
boirai;4;boire;0
charlie;94;charlie;0
failli;18;failli;0
épouser;38;épouser;0
tombée;42;tomber;0
enceinte;78;enceint;0
voulais;249;vouloir;0
fallait;32;falloir;0
problèmes;139;problème;0
voulait;290;vouloir;0
débuter;4;débuter;0
propre;144;propre;0
carrière;48;carrière;0
études;19;étude;0
logique;98;logique;0
appliquez;2;appliquer;0
aimez;61;aimez;0
mammifères;4;mammifère;0
décharge;26;décharge;0
sérotonine;4;sérotonine;0
montée;11;monter;0
endorphine;3;endorphine;0
naturellement;16;naturellement;0
recherche;126;recherche;0
sexuel;36;sexuel;0
mot;129;mot;0
appeler;126;appeler;0
anciens;20;ancien;0
amants;14;amant;0
beaucoup;446;beaucoup;0
sens;233;sens;0
paie;21;payer;0
pièces;49;pièce;0
différentes;40;;0
bonnes;41;bon;0
actrices;3;acteur;0
savent;52;savoir;0
quasiment;13;quasiment;0
sûre;142;sûre;0
ignoraient;3;ignorer;0
apparemment;89;apparemment;0
attendre;107;attendre;0
